010726-tu_ph_tu,010726-tu_ph_tu-11,transient,2026-07-01T20:51:59.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-12,transient,2026-07-01T20:52:05.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-13,transient,2026-07-01T20:52:21.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-14,transient,2026-07-01T20:52:26.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-15,transient,2026-07-01T20:54:45.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-16,transient,2026-07-01T20:54:51.898000+00:00,1.0,0.0008916629514043691,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-17,transient,2026-07-01T20:54:57.898000+00:00,1.0,0.0008916629514043691,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-18,transient,2026-07-01T13:48:12.898000+00:00,1.0,0.0009987515605493133,turbine,True,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-19,sustained,2026-07-01T13:45:25.898000+00:00,3.0,0.002825999192571659,standstill,False,standstill,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-20,sustained,2026-07-01T15:11:15.898000+00:00,4.0,0.005248284214775939,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-21,sustained,2026-07-01T14:17:21.898000+00:00,3.0,0.006055712555510699,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-22,sustained,2026-07-01T14:00:13.898000+00:00,3.0,0.006459426725878078,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
010726-tu_ph_tu,010726-tu_ph_tu-23,sustained,2026-07-01T15:29:22.898000+00:00,4.0,0.006459426725878078,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-01,sustained,2026-07-08T15:16:24.411000+00:00,4.0,0.0004032258064516129,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-02,transient,2026-07-08T15:15:24.410000+00:00,1.0,0.0004095004095004095,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-03,sustained,2026-07-08T14:08:12.411000+00:00,5.0,0.0008158825129181398,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-04,sustained,2026-07-08T15:16:48.411000+00:00,4.0,0.0020161290322580645,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-05,sustained,2026-07-08T15:17:06.411000+00:00,9.0,0.0035354908893119393,standstill,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
080726-pu_strikes,080726-pu_strikes-06,sustained,2026-07-08T15:17:43.411000+00:00,6.0,0.005983138428066358,standstill,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
250526-tu,250526-tu-01,sustained,2026-06-25T02:42:03.763000+00:00,3.0,0.001734304543877905,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-pu,290626-pu-01,transient,2026-06-29T07:53:49.198000+00:00,1.0,0.0004720098178042103,turbine,False,pump,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-pu,290626-pu-02,transient,2026-06-29T07:55:28.198000+00:00,1.0,0.0007552157084867366,turbine,False,pump,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-pu,290626-pu-03,transient,2026-06-29T07:55:55.198000+00:00,1.0,0.0007552157084867366,turbine,False,pump,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-01,transient,2026-06-29T04:31:35.737000+00:00,1.0,0.00024968789013732833,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-02,sustained,2026-06-29T04:47:21.834000+00:00,12.0,0.0004037141703673799,standstill,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-03,transient,2026-06-29T01:11:21.737000+00:00,1.0,0.00044583147570218456,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-04,transient,2026-06-29T01:11:32.737000+00:00,1.0,0.00044583147570218456,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-05,transient,2026-06-29T04:00:32.737000+00:00,1.0,0.0005002501250625312,turbine,True,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-06,sustained,2026-06-29T04:31:44.834000+00:00,3.0,0.0005839416058394161,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-07,transient,2026-06-29T04:31:30.737000+00:00,1.0,0.000749063670411985,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-08,transient,2026-06-29T01:20:42.737000+00:00,1.0,0.0008916629514043691,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-09,transient,2026-06-29T01:28:11.737000+00:00,1.0,0.0008916629514043691,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-10,transient,2026-06-29T02:00:15.737000+00:00,1.0,0.0008916629514043691,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-11,transient,2026-06-29T02:00:22.737000+00:00,1.0,0.0008916629514043691,turbine,False,transition,True,plausible anomaly,right around 10.3 could be something
290626-tu,290626-tu-12,transient,2026-06-29T03:14:11.737000+00:00,1.0,0.0008916629514043691,turbine,True,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-13,transient,2026-06-29T04:30:25.737000+00:00,1.0,0.0008916629514043691,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-14,sustained,2026-06-29T04:47:42.834000+00:00,19.0,0.0012111425111021397,standstill,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-15,sustained,2026-06-29T04:30:28.834000+00:00,3.0,0.00145985401459854,turbine,True,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-16,sustained,2026-06-29T01:10:42.834000+00:00,22.0,0.0023357664233576644,turbine,True,turbine,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-17,sustained,2026-06-29T04:31:07.834000+00:00,17.0,0.0023357664233576644,turbine,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-18,sustained,2026-06-29T00:41:17.834000+00:00,4.0,0.0044408558740411785,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-19,sustained,2026-06-29T00:58:06.834000+00:00,4.0,0.0044408558740411785,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-20,sustained,2026-06-29T04:36:34.834000+00:00,3.0,0.0044408558740411785,standstill,False,phase-shifter,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-21,sustained,2026-06-29T04:46:56.834000+00:00,3.0,0.004844570044408559,standstill,False,transition,True,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-22,sustained,2026-06-29T01:26:03.834000+00:00,4.0,0.005255474452554744,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-23,sustained,2026-06-29T01:25:21.834000+00:00,3.0,0.006131386861313868,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-24,sustained,2026-06-29T01:24:23.834000+00:00,3.0,0.006423357664233576,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
290626-tu,290626-tu-25,sustained,2026-06-29T01:26:36.834000+00:00,3.0,0.0072992700729927005,turbine,False,turbine,False,no finding,author full listening pass; nothing noteworthy (bulk recorded 2026-08-16)
